Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,5/1/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   04/30 CHEVRON 0206855           MENLO PARK    CA  S388121095251661   CARD 5402,Debit Card/ATM Card ...5402,$64.72
Auto/Transportation,Gasoline,5/9/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   05/08 CHEVRON 0206855           MENLO PARK    CA  S388129117335180   CARD 5402,Debit Card/ATM Card ...5402,$65.64
Auto/Transportation,Gasoline,5/14/18, ,CHEVRON LOS GATOS GAS C,PURCHASE WITH CASH BACK        $   0.10 AUTHORIZED ON   05/12 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00308133014451593 CARD 5402,Debit Card/ATM Card ...5402,$9.10
Auto/Transportation,Maintenance/Repair,5/14/18, ,SPEEDEE OIL CHANGE &TIRE,PURCHASE                                AUTHORIZED ON   05/12 SPEEDEE OIL CHANGE &TIRE  LOS GATOS     CA  P00468132860103489 CARD 5402,Debit Card/ATM Card ...5402,$41.26
Auto/Transportation,Gasoline,5/15/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   05/15 LOS GATOS                 LOS GATOS     CA  P00000000231144955 CARD 5402,Debit Card/ATM Card ...5402,$58.58
Auto/Transportation,Gasoline,5/18/18, ,STORE,PURCHASE                                AUTHORIZED ON   05/18 STORE # 270 ON            REDWOOD CITY  CA  P00000000137599836 CARD 5402,Debit Card/ATM Card ...5402,$49.14
Auto/Transportation,Gasoline,5/21/18, ,ROTTEN ROBBIE,PURCHASE                                AUTHORIZED ON   05/19 ROTTEN ROBBIE #           LOS GATOS     CA  P00000000286787236 CARD 5402,Debit Card/ATM Card ...5402,$58.74
Auto/Transportation,Gasoline,5/29/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   05/26 CHEVRON 0090319           VALLEJO       CA  S468146774878009   CARD 5402,Debit Card/ATM Card ...5402,$2.78
Auto/Transportation,Gasoline,5/31/18, ,CHEVRON,PURCHASE                                AUTHORIZED ON   05/30 CHEVRON 0206855           MENLO PARK    CA  S468151100549311   CARD 5402,Debit Card/ATM Card ...5402,$49.66
Auto/Transportation,Maintenance/Repair,6/4/18, ,SPEEDEE OIL CHANGE &TIRE,PURCHASE                                AUTHORIZED ON   06/02 SPEEDEE OIL CHANGE &TIRE  LOS GATOS     CA  P00308153857718009 CARD 5402,Debit Card/ATM Card ...5402,$48.24
Auto/Transportation,Gasoline,6/8/18, ,LOS GATOS,PURCHASE                                AUTHORIZED ON   06/08 LOS GATOS                 LOS GATOS     CA  P00000000881085748 CARD 5402,Debit Card/ATM Card ...5402,$50.02
Auto/Transportation,Gasoline,6/11/18, ,CHEVRON LOS GATOS GAS C,PURCHASE                                AUTHORIZED ON   06/10 CHEVRON/LOS GATOS GAS C   LOS GATOS     CA  P00468162002464608 CARD 5402,Debit Card/ATM Card ...5402,$11.00
